"ISN_DOB_BIS_VIOL","BORO","BIN","BLOCK","LOT","ISSUE_DATE","VIOLATION_TYPE_CODE","VIOLATION_NUMBER","HOUSE_NUMBER","STREET","DISPOSITION_DATE","DISPOSITION_COMMENTS","DEVICE_NUMBER","DESCRIPTION","ECB_NUMBER","NUMBER","VIOLATION_CATEGORY","VIOLATION_TYPE"
"2792151","4","4568013","13017","00019","20250602","UB","4122G/25","216-19 GAR","136 ROAD",,,,,,"V060225UB4122G/25","V-DOB VIOLATION - ACTIVE","UB-UNSAFE BUILDINGS                                                NONE"
"2792362","2","2012533","03089","00068","20250613","IMEGNCY","19298","691","EAST 183 STREET",,,,"REMEDY: ERECT FENCE",,"V061325IMEGNCY19298","V-DOB VIOLATION - ACTIVE","IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL"
"2790528","3","3045160","01645","00047","20250326","IMEGNCY","19091","709","PUTNAM AVENUE","20250604","SIDEWALK SHED ERECTED",,"ERECT 20 LINEAR FEET OF SIDEWALK SHED AT FRONT EXP 1 WITH 5 FOOT                EXTENSIONS ON LEFT AND RIGHT SIDE TO SAFEGUARD THE OCCUPANTS AND                PUBLIC FROM FALLING DEBRIS",,"V*032625IMEGNCY19091","V*-DOB VIOLATION - DISMISSED","IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL"
"2792389","3","3002077","00249","00025","20250609","LANDMK","25-0657","128","MONTAGUE STREET",,,,,,"V060925LANDMK25-0657","V-DOB VIOLATION - ACTIVE","LANDMK-LANDMARK                                                        NONE"
"2792367","2","2012533","03089","00068","20250613","IMEGNCY","19299","691","EAST 183 STREET",,,,"REMEDY: FULLY DEMO",,"V061325IMEGNCY19299","V-DOB VIOLATION - ACTIVE","IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL"
"2792382","3","3031761","01244","00086","20250609","LANDMK","25-0656","244","ALBANY AVENUE",,,,,,"V060925LANDMK25-0656","V-DOB VIOLATION - ACTIVE","LANDMK-LANDMARK                                                        NONE"
"2790357","3","3015354","00839","00054","20250314","LANDMK","25-0494","453","57 STREET",,,,,,"V031425LANDMK25-0494","V-DOB VIOLATION - ACTIVE","LANDMK-LANDMARK                                                        NONE"
"2790783","2","2057197","04637","00020","20250410","UB","2007/2025","3322","PAULDING AVENUE",,,,,,"V041025UB2007/2025","V-DOB VIOLATION - ACTIVE","UB-UNSAFE BUILDINGS                                                NONE"
"2791357","1","1086514","00880","00024","20250507","FISPFCS","00069","55","LEXINGTON AVENUE",,,"913529","CYCLE 9 FAILURE TO CORRECT SWARMP CONDITIONS",,"V050725FISPFCS00069","V-DOB VIOLATION - ACTIVE","FISPFCS-FAILURE TO CORRECT SWARMP CONDITIONS (FACADE)                   FACADE  REQUIRED"
"2791352","5","5108961","00706","00001","20250507","FISPFCS","00064","30","LA GUARDIA AVENUE",,,"911916","CYCLE 9 FAILURE TO CORRECT SWARMP CONDITIONS",,"V050725FISPFCS00064","V-DOB VIOLATION - ACTIVE","FISPFCS-FAILURE TO CORRECT SWARMP CONDITIONS (FACADE)                   FACADE  REQUIRED"
"2791356","1","1028830","01132","00020","20250507","FISPFCS","00068","113","WEST 60 STREET",,,"913092","CYCLE 9 FAILURE TO CORRECT SWARMP CONDITIONS",,"V050725FISPFCS00068","V-DOB VIOLATION - ACTIVE","FISPFCS-FAILURE TO CORRECT SWARMP CONDITIONS (FACADE)                   FACADE  REQUIRED"
"2792745","3","3221214","07900","00041","20250627","P","25-01372","5502","AVENUE N",,,,"BASED ON LIC #001343 INACTIVE STOP ALL PLUMBING WORK UNDER JOB                  #320300330 IMMEDIATELY.",,"V062725P25-01372","V-DOB VIOLATION - ACTIVE","P-PLUMBING                                                        NONE"
"2788301","2","2051491","04439","00005","20250108","AEUHAZ1","00104","777","MACE AVENUE","20250627","ECB DOWNGRADED TO CLASS 2 OR 3",,"FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION","37029684J","V*010825AEUHAZ100104","V*-DOB VIOLATION - DISMISSED","AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE"
"2792833","3","3012484","00769","00031","20250701","P","25-01425","862","47 STREET",,,,"BASED ON LIC #001343 BEING INACTIVE, STOP ALL PLUMBING WORK UNDER JOB           #320050975 IMMEDIATELY.",,"V070125P25-01425","V-DOB VIOLATION - ACTIVE","P-PLUMBING                                                        NONE"
"2792853","1","1050373","01560","00030","20250702","P","25-01443","444","EAST 81 STREET",,,,"BASED ON INACTIVE LMP# 1343, STOP ALL PLUMBING WORK UNDER JOB#                  101271197",,"V070225P25-01443","V-DOB VIOLATION - ACTIVE","P-PLUMBING                                                        NONE"
"2792922","2","2091136","02325","00001","20250707","P","25-01478","2625","THIRD AVENUE",,,,"BASED ON LMP# 1343 BEING INACTIVE, STOP ALL PLUMBING WORK UNDER JOB#            200508539",,"V070725P25-01478","V-DOB VIOLATION - ACTIVE","P-PLUMBING                                                        NONE"
"2792421","4","4231878","10846","00003","20250618","P","25-01190","99-07","199 STREET","20250709","DISMISS -PSWO HAS BEEN RESCINDED ON     06/24/2025 & JOB#402641842 WITHDRAWN",,"BASE ON COMMISSIONER'S SUSPENSION NOTIFICATION INTENDS TO REVOKE ALL            PLUMBING APPROVALS AND PERMIT ISSUED UNDER JOB #402641842 DUE TO                SUSPENSION OF LICENSE MASTER PLUMBER #1343. STOP ALL PLUMBING WORK              UNDER ABOVE MENTIONED PERMIT IMMEDIATELY.",,"V*061825P25-01190","V*-DOB VIOLATION - DISMISSED","P-PLUMBING                                                        NONE"
"2792999","2","2008388","02862","00103","20250708","C","PI20501SB","1901","JEROME AVENUE",,,,"CORRECTION ACTION PLAN REQ'D. OBSVD @ EXP2 ON W. 177 ST STUCCO MASONRY          BULGING WITH A LARGE VERTICAL CRACK ABOVE 1FL WINDOW. OWNER TO IMMED            RETAIN REG DESIGN PROF TO EVAL ENTIRE BLDG & SUBMIT CORRECTIVE ACTION           PLAN TO PROACTIVEINSP@BUILDINGS.NYC.GOV BY AUGUST 7 2025 ADDRESSING             ALL CONDITIONS W PLANS/PHOTOS/RECOMMENDING A TIME FRAME T/BE COMPLETED",,"V070825CPI20501SB","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2793026","3","3127152","05398","00028","20250709","P","25-01548","718","EAST 5 STREET",,,,"BASED ON LIC # 1343 BEING INACTIVE, STOP ALL PLUMBING WORK UNDER JOB            #302318908 IMMEDIATELY.",,"V070925P25-01548","V-DOB VIOLATION - ACTIVE","P-PLUMBING                                                        NONE"
"2793106","1","1024711","01016","07501","20250711","P","25-01610","700","8 AVENUE",,,,"BASED ON LIC # 1343 BEING INACTIVE, STOP ALL PLUMBING WORK UNDER JOB            #122621733 IMMEDIATELY.",,"V071125P25-01610","V-DOB VIOLATION - ACTIVE","P-PLUMBING                                                        NONE"
"2793081","1","1064285","02176","00149","20250711","C","25-01588","711","WEST 180 STREET",,,,"BOROUGH COMMISSIONER NOTICE OF ORDER TO STOP WORK IMMEDIATELY DUE TO            APPLICANT WITHDRAWAL #122973531. A PARTIAL STOP WORK ORDER FOR ALL              WORK UNDER ALT 2 JOB #12297351 AT 1ST TO 5TH FLOOR INTERIOR CORRIDORS,          DUE TO APPLICANT WITHDRAWAL",,"V071125C25-01588","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2793327","1","1035443","01284","00052","20250722","P","25-01707","425","MADISON AVENUE",,,,"BASED ON LMP# 1343 BEING INACTIVE, STOP ALL PLUMBING WORK UNDER JOB#            104618335",,"V072225P25-01707","V-DOB VIOLATION - ACTIVE","P-PLUMBING                                                        NONE"
"2793372","2","2098270","04050","00001","20250723","P","25-01734","1807","HUNT AVENUE",,,,"BASED ON LIC #001343 BEING INACTIVE, STOP ALL PLUMBING WORK UNDER JOB           # 220519776 IMMEDIATELY",,"V072325P25-01734","V-DOB VIOLATION - ACTIVE","P-PLUMBING                                                        NONE"
"2793481","5","5023964","01021","00030","20250725","C","25-01800","192","HEBERTON AVENUE",,,,"REQUESTING AN ENGINEER REPORT DUE TO LEANING STAIRS FROM 1 FLOOR TO 3           FLOOR INSIDE MAIN BUILDING. AN ENGINEERING REPORT IS REQUIRED TO                ASSESS AND RECTIFY THE DAMAGES PROPERTY HAS SUSTAINED.",,"V072525C25-01800","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2789541","1","1000854","00030","00005","20250204","C","SR10105DO","46","WATER STREET",,,,"FAILURE TO MAINTAIN BUILDING IN CODE COMPLIANT MANNER. NOTE: AT TIME            OF INSPECTION OBSERVED AT EXP #1 MULTIPLE AREAS OF SPALLING CRACKED             MOTAR JOINTS AT LINTELS EXPOSURE #4 OBSERVED MULTIPLE BRICKS FACE               DESTROYED/SPALLING BRICK FACE. REMEDY: REPAIR OR REPLACE",,"V020425CSR10105DO","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2789283","1","1001033","00051","00013","20250203","C","SR10101MA","86","TRINITY PLACE",,,,"FAILURE TO MAINTAIN BUILDING EXTERIOR FACADE AND APPURTENANCESIN CODE           COMPLIANT MANNER.AT TIME OF INSPECTION,IT WAS OBSERVED AT EXP1 EAST EL          EV CRACK,SPALLED MASONRY AT MULTIPLE LOCATIONS.MISSING GLASS PANELS AN          D STONE.BROKEN WINDOWS OBSERVED AT MULTIPLE LOCATIONS.REMEDY:REPAIR AN          D/OR REPLACE",,"V020325CSR10101MA","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2788149","1","1001089","00064","00020","20250121","C","25-00086","8","MAIDEN LANE",,,,"BOROUGH COMMISSIONER STOP WORK ORDER APPLICATION #121235984 DUE TO              CONTRACTOR WITHDRAWAL.",,"V012125C25-00086","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2788125","1","1001559","00144","00013","20250116","LANDMK","25-0408","157","DUANE STREET",,,,,,"V011625LANDMK25-0408","V-DOB VIOLATION - ACTIVE","LANDMK-LANDMARK                                                        NONE"
"2789512","1","1001670","00153","00024","20250220","FISPHAZ","912061","23","CHAMBERS STREET",,,"900360","CYCLE 9C UNSAFE REPORT FILED",,"V022025FISPHAZ912061","V-DOB VIOLATION - ACTIVE","FISPHAZ-HAZARDOUS CONDITION (FACADE)                                    FACADE  REQUIRED"
"2789289","1","1001904","00174","00028","20250206","C","SR0102NS","71","FRANKLIN STREET",,,,"FAILURE TO MAINTAIN BUILDING IN CODE COMPLIANT MANNER.OBSERVED DEFECTE          D FACADE AND APPURTENANCES AT EXP1 AND EXP4.DAMAGED ROOF CORNICE,BROKE          N WINDOW PANE,CRACKS DAMAGED STONES AND SPALLING ALSO DEGRADED JOINTS           AND NO EVIDENCE OF WORK BEING DONE.REMEDY:MAINTAIN BUILDING.REPAIR AND          /OR REPLACE",,"V020625CSR0102NS","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2789286","1","1002353","00196","00029","20250206","C","SR0104NS","78","WALKER STREET",,,,"FAILURE TO MAINTAIN BUILDING IN CODE COMPLIANT MANNER.OBSERVED AT EXP           DEFECTED WOOD FRAME OVER ENTRANCE DOOR.EXP2 SPALLING WINDOW SILL AT 4T          H TO 7TH FLOOR CORNER OF EXP3 AND UNREPAIRED PAINTED METAL AT 1ST FLOO          R.EXPOSURE 3 SPALLING AT PARAPET.REMEDY:REPAIR AND/OR REPLACE",,"V020625CSR0104NS","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2789652","1","1002355","00197","00001","20250228","C","25-00349","87","LAFAYETTE STREET",,,,"BUILDING OWNER TO RETAIN NYS LICENSED ENGINEER TO PROVIDED DETAILED             REPORT REGARDING FULL HEIGHT VERTICAL CRACKING OF MASONRY WALLS AT              MULTIPLE LOCATIONS THROUGHOUT CELLAR INCLUDING CRACKS EXTENDING FROM            BEAM POCKETS FOR 1ST FLOOR STRUCTURAL STEEL. CRACK MONITORS POSITIONED          AT MULTIPLE LOCATIONS IN CELLAR.",,"V022825C25-00349","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2788516","1","1003221","00267","00037","20250124","C","25-00107","371","MADISON STREET",,,,"STRUCTURE RENDERED NON COMPLIANT DUE TO VEHICLE STRIKING SHED. AT TIME          OF INSPECTION MULTIPLE UPRIGHT POSTS WERE DISPACED AND KNOCKED OUT OF           PLUMB AFER A VEHICLE IMPACTED SHED.",,"V012425C25-00107","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2788628","1","1004191","00348","00036","20250130","FISPHAZ","912014","150","DELANCEY STREET",,,"914564","CYCLE 9B UNSAFE REPORT FILED",,"V013025FISPHAZ912014","V-DOB VIOLATION - ACTIVE","FISPHAZ-HAZARDOUS CONDITION (FACADE)                                    FACADE  REQUIRED"
"2788782","1","1004353","00372","00006","20250122","AEUHAZ1","00005","24","AVENUE C",,,,"FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION","39131447J","V012225AEUHAZ100005","V-DOB VIOLATION - ACTIVE","AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE"
"2788783","1","1004353","00372","00006","20250122","AEUHAZ1","00006","24","AVENUE C",,,,"FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION","39131448L","V012225AEUHAZ100006","V-DOB VIOLATION - ACTIVE","AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE"
"2788784","1","1005246","00407","00029","20250122","AEUHAZ1","00007","542","EAST 14 STREET",,,,"FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION","39131059H","V012225AEUHAZ100007","V-DOB VIOLATION - ACTIVE","AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE"
"2788066","1","1005634","00423","00008","20250114","C","25-00053","143","BOWERY",,,,"STRUCTURE RENDERED NON-COMPLIANT. AT TIME OF INSPECTION OBSERVED                EXTENSIVE FIRE,WATER AND SMOKE DAMAGE THROUGHOUT. WINDOWS AT 5TH FLOOR          OUT AND ROOF OPEN LEAVING BUILDING OPEN TO THE ELEMENTS.",,"V011425C25-00053","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2788202","1","1005641","00423","00017","20250108","AEUHAZ1","00005","327","BROOME STREET",,,,"FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION","39534187Z","V010825AEUHAZ100005","V-DOB VIOLATION - ACTIVE","AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE"
"2788203","1","1005755","00429","00047","20250108","AEUHAZ1","00006","110","EAST 1 STREET",,,,"FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION","39128493N","V010825AEUHAZ100006","V-DOB VIOLATION - ACTIVE","AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE"
"2788785","1","1005899","00437","00009","20250122","AEUHAZ1","00008","254","EAST 10 STREET","20250206","000810 PAID INVOICE 90857392",,"FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION","39131099M","V*012225AEUHAZ100008","V*-DOB VIOLATION - DISMISSED","AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE"
"2789633","1","1006277","00448","00020","20250224","LANDMK","25-0463","72","EAST    7 STREET",,,,,,"V022425LANDMK25-0463","V-DOB VIOLATION - ACTIVE","LANDMK-LANDMARK                                                        NONE"
"2789632","1","1006278","00448","00021","20250224","LANDMK","25-0464","74","EAST    7 STREET",,,,,,"V022425LANDMK25-0464","V-DOB VIOLATION - ACTIVE","LANDMK-LANDMARK                                                        NONE"
"2788685","1","1006574","00459","00029","20250202","C","25-00193","65","SECOND AVENUE",,,,"STRUCTURE RENDERED NON-COMPLIANT. AT TIME OF INSPECTION OBSERVED FIRE,          WATER & SMOKE DAMAGE TO APARTMENT 2F SECTIONS OF FIRE PROOFING                  MISSING, WINDOWS REMOVED. NO STRUCTURAL ISSUES OBSERVED. NO ACCESS TO           1ST FL. COMMERCIAL SPACE.",,"V020225C25-00193","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2788204","1","1006577","00459","00034","20250108","AEUHAZ1","00007","55","2 AVENUE",,,,"FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION","39129227P","V010825AEUHAZ100007","V-DOB VIOLATION - ACTIVE","AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE"
"2788555","1","1006580","00460","00001","20250127","FISPHAZ","912010","200","EAST 5 STREET",,,"900826","CYCLE 9B UNSAFE REPORT FILED",,"V012725FISPHAZ912010","V-DOB VIOLATION - ACTIVE","FISPHAZ-HAZARDOUS CONDITION (FACADE)                                    FACADE  REQUIRED"
"2788205","1","1006594","00460","00039","20250108","AEUHAZ1","00008","75","2 AVENUE",,,,"FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION","35684305Z","V010825AEUHAZ100008","V-DOB VIOLATION - ACTIVE","AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE"
"2788206","1","1006594","00460","00039","20250108","AEUHAZ1","00009","75","2 AVENUE",,,,"FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION","35684306K","V010825AEUHAZ100009","V-DOB VIOLATION - ACTIVE","AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE"
"2788581","1","1006800","00465","00055","20250129","P","25-00153","145","2 AVENUE","20250203","VIOLATION DISMISSED BASED ON SWO LIFT   FOR PERMIT#M00657834.",,"THE DEPARTMENT OF BUILDINGS ORDERS ALL PLUMBING WORK UNDER PERMIT               NUMBER M00657834 STOPPED IMMEDIATELY DUE TO THE SUSPENSTION OF LMP #            527",,"V*012925P25-00153","V*-DOB VIOLATION - DISMISSED","P-PLUMBING                                                        NONE"
"2788207","1","1007824","00505","00036","20250108","AEUHAZ1","00010","12","VANDAM STREET","20250131","000810 PAID INVOICE 90856722",,"FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION","39128701Z","V*010825AEUHAZ100010","V*-DOB VIOLATION - DISMISSED","AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE"
"2789326","1","1007824","00505","00036","20250209","C","CER02MP","161","6 AVENUE",,,,"FAILURE TO MAINTAIN BUILDING WALLS OR APPURTANCES  IN A CODE COMPLIANT           MANNER . NOTED ; AT EXPOSURE # 1& 4 AT THE PARAPET LEVEL THE CORNICE            IS DETERIORATED & PULLING AWAY  IN VARIOUS LOCATIONS ERECT A SIDEWALK           SHED FOR PUBLIC SAFETY. SUBMIT ENGINEERS REPORT FOR CONDITONS CITED T          ERTINSPECTIONS@BUILDINGS.NYC.GOV WITHIN 48 OURS  718-286-3460",,"V020925CCER02MP","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2789284","1","1008050","00517","00030","20250210","C","SR0201NS","139","THOMPSON STREET",,,,"FAILURE TO MAINTAIN BUILDING IN CODE COMPLIANT MANNER.OBSERVED AT EXP1          EAST ELEV DEFECTED LINTEL AT MAIN ENTRANCE DOOR.MISSING BRICKS AND DAM          AGED/SPALLED MASONRY.CRACKED GLASS PANEL AT COMMERICAL ENTRANCE DOOR.R          EMEDY:REPAIR AND/OR REPLACE",,"V021025CSR0201NS","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2788787","1","1008184","00521","00030","20250122","AEUHAZ1","00010","308","MOTT STREET",,,,"FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION","35687054R","V012225AEUHAZ100010","V-DOB VIOLATION - ACTIVE","AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE"
"2788788","1","1008791","00545","00007","20250122","AEUHAZ1","00011","710","BROADWAY",,,,"FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION","35687053P","V012225AEUHAZ100011","V-DOB VIOLATION - ACTIVE","AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE"
"2789302","1","1008799","00545","00022","20250212","C","25-00251","736","BROADWAY",,,,"BUILDING OWNER TO IMMEDIATELY RETAIN NYS LICENSED ENGINEER TO PROVIDE           DETAILED REPORT REGARDING CONDITION OF EXTERIOR REAR FIRE STAIR TOWER           AND SPECIFICALLY CONNECTION TO ROOF / PARAPET WALL WHICH CURRENTLY HAS          TEMPORARY SHORING POSTS IN PLACE.",,"V021225C25-00251","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2787720","1","1009201","00564","00019","20250110","C","25-00032","827","BROADWAY","20250129","ENGINEERING REPORT RECIEVED AND ACCEPTED",,"OWNER TO HIRE NYSPE TO SUBMIT REPORT TO                                         ERTINSPECTIONS@BUILDINGS.NYC.GOV WITH IN 5 DAYS, ADDRESSING ALL                 CONDITIONS W/PLANS, PHOTOS, RECOMMENDING TIME FRAME AND REPAIRS TO BE           COMPLETED.",,"V*011025C25-00032","V*-DOB VIOLATION - DISMISSED","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2788053","1","1009201","00564","00019","20250113","IMEGNCY","18943","827","BROADWAY",,,,"PROVIDE SIDEWALK SHED AT EXPOSURE#2 COURTYARD OF 49 E 12 STREET APPROX           20 LINEAR FEET TO SAFEGUARD PUBLIC AND PROPERTY",,"V011325IMEGNCY18943","V-DOB VIOLATION - ACTIVE","IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL"
"2787719","1","1009202","00564","00020","20250110","C","25-00033","49","EAST 12 STREET",,,,"OBSERVED REAR YARD IS WITHIN THE UNSAFE ZONE OF FALLING DEBRIS FROM             ADJACENT BUILDING (827 BROADWAY). VACATE REAR YARD.",,"V011025C25-00033","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
